STACJA;ROK;DATA;NRPOMIARU;TYDZ;NRDNIA;SDRD
2002;2022;06.05.2022;5;18;5;11439
2002;2022;07.05.2022;5;18;6;8742
2002;2022;08.05.2022;5;18;7;8196
2002;2022;09.05.2022;5;19;1;10795
2002;2022;10.05.2022;5;19;2;10245
2002;2022;11.05.2022;5;19;3;10213
2002;2022;12.05.2022;5;19;4;10397
2002;2022;13.05.2022;5;19;5;11613
2002;2022;14.05.2022;5;19;6;9105
2002;2022;15.05.2022;5;19;7;9300
2002;2022;16.05.2022;5;20;1;10560
2002;2022;17.05.2022;5;20;2;9789
2002;2022;18.05.2022;5;20;3;10084
2002;2022;19.05.2022;5;20;4;10218
2002;2022;20.05.2022;5;20;5;11571
2002;2022;21.05.2022;5;20;6;8854
2002;2022;22.05.2022;5;20;7;8387
2002;2022;23.05.2022;5;21;1;10297
2002;2022;24.05.2022;5;21;2;9850
2002;2022;25.05.2022;5;21;3;11373
2002;2022;26.05.2022;5;21;4;12969
2002;2022;27.05.2022;5;21;5;11410
2002;2022;28.05.2022;5;21;6;8522
2002;2022;29.05.2022;5;21;7;9451
2002;2022;30.05.2022;5;22;1;10206
2002;2022;31.05.2022;5;22;2;9935
2002;2022;01.06.2022;6;22;3;10002
2002;2022;02.06.2022;6;22;4;10411
2002;2022;03.06.2022;6;22;5;12370
2002;2022;04.06.2022;6;22;6;8680
2002;2022;05.06.2022;6;22;17;8635
2002;2022;06.06.2022;6;23;1;11589
2002;2022;07.06.2022;6;23;2;10106
2002;2022;08.06.2022;6;23;3;9853
2002;2022;09.06.2022;6;23;4;9952
2002;2022;10.06.2022;6;23;5;11302
2002;2022;11.06.2022;6;23;6;9155
2002;2022;12.06.2022;6;23;7;8368
2002;2022;13.06.2022;6;24;1;9956
2002;2022;14.06.2022;6;24;2;9892
2002;2022;15.06.2022;6;24;3;10789
2002;2022;16.06.2022;6;24;14;6799
2002;2022;17.06.2022;6;24;5;10303
2002;2022;18.06.2022;6;24;6;8633
2002;2022;19.06.2022;6;24;7;8416
2002;2022;20.06.2022;6;25;1;9946
2002;2022;21.06.2022;6;25;2;9866
2002;2022;22.06.2022;6;25;3;9588
2002;2022;23.06.2022;6;25;4;9976
2002;2022;24.06.2022;6;25;5;11286
2002;2022;25.06.2022;6;25;6;8212
2002;2022;26.06.2022;6;25;7;8247
2002;2022;27.06.2022;6;26;1;9727
2002;2022;28.06.2022;6;26;2;9430
2002;2022;29.06.2022;6;26;3;9204
2002;2022;30.06.2022;6;26;4;9988
2002;2022;01.07.2022;7;26;5;11143
2002;2022;02.07.2022;7;26;6;9406
2002;2022;03.07.2022;7;26;7;8865
2002;2022;04.07.2022;7;27;1;9901
2002;2022;05.07.2022;7;27;2;9779
2002;2022;06.07.2022;7;27;3;9818
2002;2022;07.07.2022;7;27;4;9768
2002;2022;08.07.2022;7;27;5;11220
2002;2022;09.07.2022;7;27;6;8815
2002;2022;10.07.2022;7;27;7;7811
2002;2022;11.07.2022;7;28;1;9955
2002;2022;12.07.2022;7;28;2;9590
2002;2022;13.07.2022;7;28;3;9780
2002;2022;14.07.2022;7;28;4;9888
2002;2022;15.07.2022;7;28;5;11397
2002;2022;16.07.2022;7;28;6;9106
2002;2022;17.07.2022;7;28;7;9523
2002;2022;18.07.2022;7;29;1;9832
2002;2022;19.07.2022;7;29;2;9773
2002;2022;20.07.2022;7;29;3;9368
2002;2022;21.07.2022;7;29;4;9568
2002;2022;22.07.2022;7;29;5;10902
2002;2022;23.07.2022;7;29;6;8476
2002;2022;24.07.2022;7;29;7;8927
2002;2022;25.07.2022;7;30;1;9938
2002;2022;26.07.2022;7;30;2;9605
2002;2022;27.07.2022;7;30;3;9679
2002;2022;28.07.2022;7;30;4;10166
2002;2022;29.07.2022;7;30;5;11096
2002;2022;30.07.2022;7;30;6;8287
2002;2022;31.07.2022;7;30;7;8952
2002;2022;01.08.2022;8;31;1;9993
2002;2022;02.08.2022;8;31;2;9911
2002;2022;03.08.2022;8;31;3;9714
2002;2022;04.08.2022;8;31;4;9902
2002;2022;05.08.2022;8;31;5;10956
2002;2022;06.08.2022;8;31;6;9560
2002;2022;07.08.2022;8;31;7;9699
2002;2022;08.08.2022;8;32;1;9881
2002;2022;09.08.2022;8;32;2;9642
2002;2022;10.08.2022;8;32;3;9876
2002;2022;11.08.2022;8;32;4;10236
2002;2022;12.08.2022;8;32;5;11368
2002;2022;13.08.2022;8;32;6;9133
2002;2022;14.08.2022;8;32;7;9087
2002;2022;15.08.2022;8;33;11;7952
2002;2022;16.08.2022;8;33;2;10134
2002;2022;17.08.2022;8;33;3;9912
2002;2022;18.08.2022;8;33;4;10084
2002;2022;19.08.2022;8;33;5;11075
2002;2022;20.08.2022;8;33;6;8315
2002;2022;21.08.2022;8;33;7;7567
2002;2022;22.08.2022;8;34;1;9763
2002;2022;23.08.2022;8;34;2;9353
2002;2022;24.08.2022;8;34;3;9829
2002;2022;25.08.2022;8;34;4;10074
2002;2022;26.08.2022;8;34;5;10966
2002;2022;27.08.2022;8;34;6;8497
2002;2022;28.08.2022;8;34;7;7613
2002;2022;29.08.2022;8;35;1;10199
2002;2022;30.08.2022;8;35;2;10102
2002;2022;31.08.2022;8;35;3;9942
2002;2022;01.09.2022;9;35;4;10258
2002;2022;02.09.2022;9;35;5;11339
2002;2022;03.09.2022;9;35;6;9180
2002;2022;04.09.2022;9;35;7;9354
2002;2022;05.09.2022;9;36;1;9893
2002;2022;06.09.2022;9;36;2;9765
2002;2022;07.09.2022;9;36;3;9736
2002;2022;08.09.2022;9;36;4;9801
2002;2022;09.09.2022;9;36;5;11270
2002;2022;10.09.2022;9;36;6;8810
2002;2022;11.09.2022;9;36;7;7714
2002;2022;12.09.2022;9;37;1;10009
2002;2022;13.09.2022;9;37;2;9767
2002;2022;14.09.2022;9;37;3;9774
2002;2022;15.09.2022;9;37;4;10034
2002;2022;16.09.2022;9;37;5;11228
2002;2022;17.09.2022;9;37;6;8358
2002;2022;18.09.2022;9;37;7;7155
2002;2022;19.09.2022;9;38;1;9906
2002;2022;20.09.2022;9;38;2;9388
2002;2022;21.09.2022;9;38;3;9553
2002;2022;22.09.2022;9;38;4;9970
2002;2022;23.09.2022;9;38;5;11595
2002;2022;24.09.2022;9;38;6;9262
2002;2022;25.09.2022;9;38;7;8505
2002;2022;26.09.2022;9;39;1;9756
2002;2022;27.09.2022;9;39;2;9280
2002;2022;28.09.2022;9;39;3;9471
2002;2022;29.09.2022;9;39;4;9940
2002;2022;30.09.2022;9;39;5;12259
2002;2022;01.10.2022;10;39;6;9174
2002;2022;02.10.2022;10;39;7;7339
2002;2022;03.10.2022;10;40;1;11778
2002;2022;04.10.2022;10;40;2;9930
2002;2022;05.10.2022;10;40;3;9413
2002;2022;06.10.2022;10;40;4;9792
2002;2022;07.10.2022;10;40;5;11683
2002;2022;08.10.2022;10;40;6;9127
2002;2022;09.10.2022;10;40;7;9323
2002;2022;10.10.2022;10;41;1;9975
2002;2022;11.10.2022;10;41;2;9665
2002;2022;12.10.2022;10;41;3;9660
2002;2022;13.10.2022;10;41;4;10028
2002;2022;14.10.2022;10;41;5;11232
2002;2022;15.10.2022;10;41;6;8642
2002;2022;16.10.2022;10;41;7;9044
2002;2022;17.10.2022;10;42;1;10150
2002;2022;18.10.2022;10;42;2;9572
2002;2022;19.10.2022;10;42;3;9470
2002;2022;20.10.2022;10;42;4;10009
2002;2022;21.10.2022;10;42;5;11521
2002;2022;22.10.2022;10;42;6;8816
2002;2022;23.10.2022;10;42;7;9044
2002;2022;24.10.2022;10;43;1;10064
2002;2022;25.10.2022;10;43;2;9948
2002;2022;26.10.2022;10;43;3;10183
2002;2022;27.10.2022;10;43;4;10376
2002;2022;28.10.2022;10;43;5;12683
2002;2022;29.10.2022;10;43;6;10613
2002;2022;30.10.2022;10;43;7;10681
2002;2022;31.10.2022;10;44;1;11783
2002;2022;01.11.2022;11;44;12;8126
2002;2022;02.11.2022;11;44;3;10188
2002;2022;03.11.2022;11;44;4;9788
2002;2022;04.11.2022;11;44;5;11081
2002;2022;05.11.2022;11;44;6;7980
2002;2022;06.11.2022;11;44;7;7626
2002;2022;07.11.2022;11;45;1;9545
2002;2022;08.11.2022;11;45;2;9294
2002;2022;09.11.2022;11;45;3;9550
2002;2022;10.11.2022;11;45;4;10614
2002;2022;11.11.2022;11;45;15;7276
